county_name,year,supersector,total_annual_wages,annual_avg_emplvl,avg_annual_pay,in_core_11
Clayton,2018,Manufacturing,265564447,4386,60548.0,True
Clayton,2018,Natural resources and mining,15014661,360,41707.0,True
Clayton,2018,Other services,57098441,1643,34753.0,True
Clayton,2018,Professional and business services,415009094,12778,32478.0,True
Clayton,2018,"Trade, transportation and utilities",4569894893,59621,76649.0,True
Clayton,2019,Construction,235727661,3514,67082.0,True
Clayton,2019,Education and health services,439489639,9284,47338.0,True
Clayton,2019,Financial activities,163821023,3136,52239.0,True
Clayton,2019,Information,34273530,565,60661.0,True
Clayton,2019,Leisure and hospitality,252987053,12384,20429.0,True
Clayton,2019,Manufacturing,280094931,4452,62914.0,True
Clayton,2019,Natural resources and mining,15829948,405,39086.0,True
Clayton,2019,Other services,66024850,1737,38011.0,True
Clayton,2019,Professional and business services,451537388,13154,34327.0,True
Clayton,2019,"Trade, transportation and utilities",4743693985,60804,78016.0,True
Clayton,2020,Construction,225392248,3199,70457.0,True
Clayton,2020,Education and health services,428344519,8328,51434.0,True
Clayton,2020,Financial activities,143989942,2643,54480.0,True
Clayton,2020,Information,29877039,515,58014.0,True
Clayton,2020,Leisure and hospitality,183544386,9102,20165.0,True
Clayton,2020,Manufacturing,350778720,5050,69461.0,True
Clayton,2020,Natural resources and mining,10606943,225,47142.0,True
Clayton,2020,Other services,66474370,1658,40093.0,True
Clayton,2020,Professional and business services,408124675,11405,35785.0,True
Clayton,2020,"Trade, transportation and utilities",4441954116,55365,80230.0,True
Clayton,2021,Construction,225474020,3164,71262.0,True
Clayton,2021,Education and health services,450739844,8435,53437.0,True
Clayton,2021,Financial activities,158979739,2719,58470.0,True
Clayton,2021,Information,34552476,496,69662.0,True
Clayton,2021,Leisure and hospitality,196566687,8673,22664.0,True
Clayton,2021,Manufacturing,356910276,5229,68256.0,True
Clayton,2021,Natural resources and mining,10425574,237,43990.0,True
Clayton,2021,Other services,73938804,1764,41915.0,True
Clayton,2021,Professional and business services,424520813,11171,38002.0,True
Clayton,2021,"Trade, transportation and utilities",4398486642,57722,76201.0,True
Clayton,2022,Construction,250581855,3321,75454.0,True
Clayton,2022,Education and health services,477054172,8646,55176.0,True
Clayton,2022,Financial activities,176199102,2839,62064.0,True
Clayton,2022,Information,46050065,628,73328.0,True
Clayton,2022,Leisure and hospitality,253832845,9932,25557.0,True
Clayton,2022,Manufacturing,336780540,5459,61693.0,True
Clayton,2022,Natural resources and mining,11587321,260,44567.0,True
Clayton,2022,Other services,85213487,1984,42950.0,True
Clayton,2022,Professional and business services,400893457,9364,42812.0,True
Clayton,2022,"Trade, transportation and utilities",4971665536,64280,77344.0,True
Clayton,2023,Construction,284399501,3543,80271.0,True
Clayton,2023,Education and health services,552882000,10044,55046.0,True
Clayton,2023,Financial activities,181648956,2915,62315.0,True
Clayton,2023,Information,49800605,634,78550.0,True
Clayton,2023,Leisure and hospitality,282759179,10399,27191.0,True
Clayton,2023,Manufacturing,354125748,5497,64422.0,True
Clayton,2023,Natural resources and mining,7612672,128,59474.0,True
Clayton,2023,Other services,112975904,2419,46704.0,True
Clayton,2023,Professional and business services,460338469,9692,47497.0,True
Clayton,2023,"Trade, transportation and utilities",6384548576,71336,89500.0,True
Cobb,2015,Construction,1383155846,22035,62771.0,True
Cobb,2015,Education and health services,1976890115,38554,51276.0,True
Cobb,2015,Financial activities,1595457669,21288,74946.0,True
Cobb,2015,Information,673499111,7878,85491.0,True
Cobb,2015,Leisure and hospitality,661594306,35841,18459.0,True
Cobb,2015,Manufacturing,1349821906,18169,74293.0,True
Cobb,2015,Natural resources and mining,6273079,119,52715.0,True
Cobb,2015,Other services,374959230,9652,38848.0,True
Cobb,2015,Professional and business services,5068878808,71024,71369.0,True
Cobb,2015,"Trade, transportation and utilities",3817243910,74544,51208.0,True
Cobb,2016,Construction,1623368863,24534,66168.0,True
Cobb,2016,Education and health services,2080991330,39739,52366.0,True
Cobb,2016,Financial activities,1684787375,21643,77844.0,True
Cobb,2016,Information,857937517,10002,85777.0,True
Cobb,2016,Leisure and hospitality,696018245,37725,18450.0,True
Cobb,2016,Manufacturing,1393186479,18126,76861.0,True
Cobb,2016,Natural resources and mining,6952313,134,51883.0,True
Cobb,2016,Other services,404184964,10201,39622.0,True
Cobb,2016,Professional and business services,5243868094,73552,71295.0,True
Cobb,2016,"Trade, transportation and utilities",3931341494,76107,51655.0,True
Cobb,2017,Construction,1715512942,25256,67925.0,True
Cobb,2017,Education and health services,2178971475,40177,54234.0,True
Cobb,2017,Financial activities,1759856053,21590,81513.0,True
Cobb,2017,Information,1098789194,12507,87854.0,True
Cobb,2017,Leisure and hospitality,737489988,39014,18903.0,True
Cobb,2017,Manufacturing,1415810168,18908,74879.0,True
